ticker,isi_first_month,overlay_first_month,isi_first_dt,overlay_first_dt,lead_time_months
SIDO.JK,,2023-11,,2023-11-01,
SMGR.JK,,2024-06,,2024-06-01,
SRIL.JK,,2024-07,,2024-07-01,
TBIG.JK,,2023-06,,2023-06-01,
TINS.JK,,2023-04,,2023-04-01,
TKIM.JK,,2023-02,,2023-02-01,
TLKM.JK,,2023-07,,2023-07-01,
TOWR.JK,2023-01,2023-01,2023-01-01,2023-01-01,0.0
TPIA.JK,2023-01,2023-01,2023-01-01,2023-01-01,0.0
UNTR.JK,2023-01,2023-01,2023-01-01,2023-01-01,0.0
WSBP.JK,2023-01,2023-01,2023-01-01,2023-01-01,0.0
WSKT.JK,2023-01,2023-01,2023-01-01,2023-01-01,0.0
