Config,Period,Months,CAGR,AnnReturn,Volatility,Sharpe,Sortino,MaxDD,WinRate,Alpha,Beta,BenchCAGR,ExcessCAGR
A (Legacy Equal),TRAIN,17,6.10%,9.70%,27.91%,0.35,0.33,20.09%,52.94%,+8.14%,1.16,1.34%,+4.76%
A (Legacy Equal),VALIDATION,11,0.86%,2.87%,20.84%,0.14,0.12,18.27%,54.55%,+3.00%,-1.22,0.05%,+0.81%
A (Legacy Equal),TEST,14,24.48%,25.48%,28.01%,0.91,1.63,17.93%,50.00%,+21.98%,-0.66,-5.27%,+29.75%
A (Legacy Equal),FULL,44,6.06%,9.23%,26.21%,0.35,0.38,27.48%,52.27%,+8.29%,-0.88,-1.11%,+7.16%
B (Alpha Optimized),TRAIN,17,14.06%,16.78%,27.34%,0.61,0.58,16.27%,58.82%,+13.90%,2.14,1.34%,+12.72%
B (Alpha Optimized),VALIDATION,11,-5.44%,-3.90%,18.93%,-0.21,-0.18,18.27%,45.45%,-3.81%,-0.88,0.05%,-5.49%
B (Alpha Optimized),TEST,14,27.25%,27.14%,25.62%,1.06,2.16,13.26%,50.00%,+21.07%,-1.14,-5.27%,+32.52%
B (Alpha Optimized),FULL,44,7.49%,10.24%,24.93%,0.41,0.47,29.17%,50.00%,+9.34%,-0.84,-1.11%,+8.60%
C (Momentum Heavy),TRAIN,17,17.46%,19.79%,27.44%,0.72,0.63,16.27%,64.71%,+13.93%,4.34,1.34%,+16.12%
C (Momentum Heavy),VALIDATION,11,9.54%,10.75%,18.53%,0.58,0.43,14.25%,63.64%,+10.83%,-0.71,0.05%,+9.49%
C (Momentum Heavy),TEST,14,47.88%,43.70%,29.96%,1.46,2.54,7.98%,57.14%,+37.66%,-1.13,-5.27%,+53.15%
C (Momentum Heavy),FULL,44,18.31%,20.33%,26.54%,0.77,0.83,16.27%,59.09%,+19.68%,-0.61,-1.11%,+19.42%
D (Quality First),TRAIN,17,3.87%,7.74%,28.67%,0.27,0.28,22.16%,47.06%,+3.53%,3.12,1.34%,+2.53%
D (Quality First),VALIDATION,11,9.20%,10.53%,19.32%,0.55,0.54,14.95%,54.55%,+10.57%,-0.35,0.05%,+9.15%
D (Quality First),TEST,14,21.78%,23.47%,28.63%,0.82,1.12,15.49%,57.14%,+30.28%,1.28,-5.27%,+27.05%
D (Quality First),FULL,44,6.37%,9.52%,26.23%,0.36,0.41,22.16%,50.00%,+10.17%,0.61,-1.11%,+7.48%
F (Earnings Growth),TRAIN,17,8.82%,11.35%,24.67%,0.46,0.40,18.30%,64.71%,+6.15%,3.85,1.34%,+7.47%
F (Earnings Growth),VALIDATION,11,21.35%,20.63%,15.66%,1.32,1.44,11.30%,54.55%,+20.69%,-0.57,0.05%,+21.30%
F (Earnings Growth),TEST,14,12.79%,15.04%,26.19%,0.57,0.78,15.01%,57.14%,+11.71%,-0.62,-5.27%,+18.06%
F (Earnings Growth),FULL,44,9.23%,11.39%,23.04%,0.49,0.53,18.30%,56.82%,+11.33%,-0.05,-1.11%,+10.34%
