feature,T-40,T-20,T-10,T-5,T0
rs_20d,0.008168893482574546,0.0014276675621728296,-0.007903394147757759,-0.029359999874327247,-0.0642252562602107
rs_60d,0.006549754864432655,-0.00747146118437092,-0.012718878070590023,-0.025544439087439974,-0.05489700356835159
rs_120d,0.024226974741594354,-0.0049397446571985415,-0.03839664645670626,-0.048547219047817725,-0.06582825597761655
rs_252d,0.07107556468331133,0.03444816875453949,-0.008545917761057509,-0.022935753419512817,-0.03593043013700259
rs_change_20d,0.0031517882203178083,-0.02041216586624023,-0.004821067065466256,-0.03774393374747187,-0.050857369717806356
rs_change_60d,0.0008417380841631017,-0.029208973050999953,-0.0036222591234412738,-0.0330608545540233,-0.055814632720770474
recovery_from_60d_low,0.13210610432072545,0.14388119449532066,0.1354582866557381,0.10619472640451955,0.06799131029481631
drawdown_252d,-0.20424937714690428,-0.21717215264481693,-0.25477708635537155,-0.28979590835055835,-0.326016968744355
distance_from_high_252d,-0.20424937714690428,-0.21717215264481693,-0.25477708635537155,-0.28979590835055835,-0.326016968744355
volatility_20d,0.3677716048313695,0.4026029871826952,0.42597922322383036,0.436749261601098,0.45605517457935696
volatility_60d,0.42679203919223746,0.4113201722467919,0.41483914966740976,0.41717749162627843,0.4384130981440484
volume_ratio,0.9250945093482049,0.7692121935988083,0.8701077392347958,0.8773837018389314,0.9073385894773098
momentum_slope,-0.0006422530821437977,-0.00036907817136008027,-0.0004321031687549945,-6.772169025850104e-05,-0.0009644038083109539
ma20,1386.7052795410157,1325.020590209961,1321.484323120117,1318.5976806640624,1271.7362915039062
ma50,1358.3965893554687,1360.6141101074218,1334.6043566894532,1313.6612658691406,1302.0783752441407
ma100,1366.8933056640626,1373.2074310302733,1388.9582397460938,1400.7852160644532,1394.296358642578
ma200,1286.0354116821288,1314.13677154541,1296.731201171875,1287.4033309936524,1323.8202958679199
above_ma20,0.0,1.0,0.0,0.0,0.0
above_ma50,0.5,1.0,0.0,0.0,0.0
above_ma100,1.0,1.0,0.0,0.0,0.0
above_ma200,0.0,0.0,0.0,0.0,0.0
golden_cross,0.0,0.0,0.0,0.0,0.0
death_cross,0.0,0.0,0.0,0.0,0.0
