feature,change_T40_T20,change_T20_T10,change_T10_T5,change_T5_T0,pct_T40_T20,pct_T20_T10,pct_T10_T5,pct_T5_T0,median_T40,median_T20,median_T10,median_T5,median_T0
rs_change_60d,0.037657,0.000868,0.006721,0.020447,0.5732,0.0132,0.1023,0.3113,-0.014754,-0.052411,-0.051543,-0.044822,-0.024375
rs_120d,0.02934,0.009164,0.001897,0.029168,0.4217,0.1317,0.0273,0.4193,-0.01889,-0.04823,-0.057394,-0.055497,-0.026329
rs_252d,0.034205,0.020523,0.006581,0.023975,0.4011,0.2406,0.0772,0.2811,0.016121,-0.018084,-0.038607,-0.032026,-0.008051
distance_from_high_252d,0.027441,0.008307,0.005688,0.027132,0.4002,0.1212,0.0829,0.3957,-0.224018,-0.251459,-0.259766,-0.265453,-0.238322
drawdown_252d,0.027441,0.008307,0.005688,0.027132,0.4002,0.1212,0.0829,0.3957,-0.224018,-0.251459,-0.259766,-0.265453,-0.238322
volatility_60d,0.005026,0.002891,0.002197,0.002947,0.3848,0.2213,0.1682,0.2257,0.398955,0.40398,0.406871,0.409068,0.412015
rs_60d,0.020511,0.005776,0.005895,0.028005,0.3408,0.096,0.0979,0.4653,-0.021519,-0.04203,-0.047806,-0.041911,-0.013906
volatility_20d,0.005719,0.009181,0.00938,0.000459,0.2312,0.3711,0.3792,0.0185,0.386544,0.392263,0.401444,0.392064,0.391606
rs_20d,0.009264,0.013632,0.003875,0.04311,0.1326,0.1951,0.0555,0.6169,-0.010749,-0.020013,-0.033645,-0.029769,0.013341
momentum_slope,0.000137,0.00032,4.7e-05,0.000802,0.1046,0.2451,0.0363,0.614,-0.000384,-0.000521,-0.000841,-0.000793,9e-06
volume_ratio,0.031948,0.032732,0.002788,0.601674,0.0477,0.0489,0.0042,0.8992,0.913554,0.881606,0.848874,0.851662,1.453336
recovery_from_60d_low,0.001357,0.011223,0.00836,0.055264,0.0178,0.1473,0.1097,0.7252,0.11038,0.109023,0.0978,0.10616,0.161424
rs_change_20d,0.000297,0.01291,0.004019,0.048731,0.0045,0.1957,0.0609,0.7388,-0.007948,-0.007651,-0.020561,-0.016542,0.03219
above_ma20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
above_ma50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
