context_label,n_signals,n_positive,precision,vol_bucket,dd_bucket,trend_bucket,dist_bucket
Low Vol | Deep (<-25%) | Bull Trend (above MA50+200) | Far (<-20%),4,4,1.0,Low Vol,Deep (<-25%),Bull Trend (above MA50+200),Far (<-20%)
Medium Vol | Deep (<-25%) | Bull Trend (above MA50+200) | Far (<-20%),6,4,0.6667,Medium Vol,Deep (<-25%),Bull Trend (above MA50+200),Far (<-20%)
"High Vol | Deep (<-25%) | Mixed (below MA50, above MA200) | Far (<-20%)",12,6,0.5,High Vol,Deep (<-25%),"Mixed (below MA50, above MA200)",Far (<-20%)
Low Vol | Shallow (>-10%) | Bear Trend (below both) | Mid (-5% to -20%),2,1,0.5,Low Vol,Shallow (>-10%),Bear Trend (below both),Mid (-5% to -20%)
"High Vol | Moderate (-10% to -25%) | Mixed (below MA50, above MA200) | Far (<-20%)",14,6,0.4286,High Vol,Moderate (-10% to -25%),"Mixed (below MA50, above MA200)",Far (<-20%)
"Medium Vol | Deep (<-25%) | Mixed (above MA50, below MA200) | Far (<-20%)",41,16,0.3902,Medium Vol,Deep (<-25%),"Mixed (above MA50, below MA200)",Far (<-20%)
High Vol | Deep (<-25%) | Bear Trend (below both) | Far (<-20%),120,44,0.3667,High Vol,Deep (<-25%),Bear Trend (below both),Far (<-20%)
"High Vol | Deep (<-25%) | Mixed (above MA50, below MA200) | Far (<-20%)",123,44,0.3577,High Vol,Deep (<-25%),"Mixed (above MA50, below MA200)",Far (<-20%)
"High Vol | Moderate (-10% to -25%) | Mixed (above MA50, below MA200) | Far (<-20%)",20,7,0.35,High Vol,Moderate (-10% to -25%),"Mixed (above MA50, below MA200)",Far (<-20%)
"Low Vol | Moderate (-10% to -25%) | Mixed (above MA50, below MA200) | Far (<-20%)",19,6,0.3158,Low Vol,Moderate (-10% to -25%),"Mixed (above MA50, below MA200)",Far (<-20%)
"Medium Vol | Moderate (-10% to -25%) | Mixed (above MA50, below MA200) | Far (<-20%)",26,8,0.3077,Medium Vol,Moderate (-10% to -25%),"Mixed (above MA50, below MA200)",Far (<-20%)
