bucket,category,n_signals,n_positive,precision,pct_of_signals,lift_vs_baseline,signal_quality
Volatility Bucket,High Vol,650,183,0.2815,34.5,1.3392575757575755,MODERATE
Volatility Bucket,Low Vol,592,68,0.1149,31.4,0.5466454545454545,WEAK
Volatility Bucket,Medium Vol,642,145,0.2259,34.1,1.0747363636363636,MODERATE
Drawdown Bucket,Deep (<-25%),524,179,0.3416,27.8,1.6251878787878788,STRONG
Drawdown Bucket,Moderate (-10% to -25%),738,129,0.1748,39.2,0.8316242424242425,WEAK
Drawdown Bucket,Shallow (>-10%),622,88,0.1415,33.0,0.6731969696969696,WEAK
Mcap Bucket,Large (>5k),545,73,0.1339,28.9,0.6370393939393939,WEAK
Mcap Bucket,Mid (1k-5k),1041,244,0.2344,55.3,1.1151757575757575,MODERATE
Mcap Bucket,Small (<1k),298,79,0.2651,15.8,1.2612333333333332,MODERATE
Trend Bucket,Bear Trend (below both),464,113,0.2435,24.6,1.1584696969696968,MODERATE
Trend Bucket,Bull Trend (above MA50+200),930,154,0.1656,49.4,0.7878545454545454,WEAK
Trend Bucket,"Mixed (above MA50, below MA200)",307,92,0.2997,16.3,1.4258454545454546,MODERATE
Trend Bucket,"Mixed (below MA50, above MA200)",183,37,0.2022,9.7,0.961981818181818,MODERATE
Sector,Automotive & Conglomerate,68,9,0.1324,3.6,0.6299030303030302,WEAK
Sector,Banking,258,29,0.1124,13.7,0.5347515151515151,WEAK
Sector,Cement,129,20,0.155,6.8,0.7374242424242424,WEAK
Sector,Chemicals & Conglomerate,63,27,0.4286,3.3,2.0390969696969696,STRONG
Sector,Chemicals (Petrochemical),62,23,0.371,3.3,1.765060606060606,STRONG
Sector,Coal Mining,136,32,0.2353,7.2,1.1194575757575758,MODERATE
Sector,Coal Mining (State-owned),69,17,0.2464,3.7,1.1722666666666666,MODERATE
Sector,Consumer Goods,203,20,0.0985,10.8,0.4686212121212121,WEAK
Sector,Energy & Logistics,69,18,0.2609,3.7,1.241251515151515,MODERATE
Sector,Energy (Gas),64,18,0.2812,3.4,1.337830303030303,MODERATE
Sector,Energy (Oil & Gas),66,24,0.3636,3.5,1.7298545454545453,STRONG
Sector,Healthcare,129,25,0.1938,6.8,0.9220181818181817,WEAK
Sector,Heavy Equipment & Mining,65,14,0.2154,3.5,1.0247818181818182,MODERATE
Sector,Mining (Gold),67,26,0.3881,3.6,1.8464151515151515,STRONG
Sector,Mining (Gold/Copper),17,5,0.2941,0.9,1.39920303030303,MODERATE
Sector,Mining (State-owned),66,21,0.3182,3.5,1.513860606060606,STRONG
Sector,Pharmaceutical,62,14,0.2258,3.3,1.074260606060606,MODERATE
Sector,Poultry & Feed,62,10,0.1613,3.3,0.7673969696969697,WEAK
Sector,Retail,66,16,0.2424,3.5,1.1532363636363636,MODERATE
Sector,Technology,29,6,0.2069,1.5,0.9843424242424242,MODERATE
Sector,Telecom,134,22,0.1642,7.1,0.7811939393939394,WEAK
Distance Bucket,Far (<-20%),725,223,0.3076,38.5,1.4634303030303029,STRONG
Distance Bucket,Mid (-5% to -20%),820,119,0.1451,43.5,0.6903242424242424,WEAK
Distance Bucket,Near High (>-5%),339,54,0.1593,18.0,0.7578818181818181,WEAK
