formation_month,next_month,baseline_return,timed_return,benchmark_return,n_stocks,n_avoid,n_watch,n_accumulate,n_buy,cash_weight
2019-01,2019-02,-0.025991,-0.024771,-0.014573,5,2,3,0,0,0.85
2019-02,2019-03,0.007988,0.0,-0.004789,5,5,0,0,0,1.0
2019-03,2019-04,0.003611,-0.014469,0.000425,5,3,2,0,0,0.9
2019-04,2019-05,-0.045573,0.0,-0.025932,5,5,0,0,0,1.0
2019-05,2019-06,0.030768,0.046742,0.010974,5,3,2,0,0,0.9
2019-06,2019-07,0.062583,0.032527,0.001696,5,4,1,0,0,0.95
2019-07,2019-08,-0.055711,0.029126,-0.008316,5,4,1,0,0,0.95
2019-08,2019-09,-0.0402,0.0,-0.019306,5,5,0,0,0,1.0
2019-09,2019-10,-0.001358,-0.016632,0.014673,5,3,2,0,0,0.9
2019-10,2019-11,-0.028383,0.0,-0.031473,5,5,0,0,0,1.0
2019-11,2019-12,0.107257,0.067859,0.027648,5,4,1,0,0,0.95
2019-12,2020-01,-0.080535,-0.064388,-0.054672,5,2,3,0,0,0.85
2020-01,2020-02,-0.0659,-0.034419,-0.073327,5,1,4,0,0,0.8
2020-02,2020-03,-0.211629,-0.213601,-0.153381,5,2,3,0,0,0.85
2020-03,2020-04,0.012779,0.005388,0.05606,5,1,2,2,0,0.7
2020-04,2020-05,-0.096371,-0.099162,0.032163,5,2,1,0,2,0.55
2020-05,2020-06,0.04881,0.049689,0.011941,5,2,1,0,2,0.55
2020-06,2020-07,0.064466,0.107657,0.047867,5,3,1,0,1,0.75
2020-07,2020-08,0.003928,0.008829,0.046395,5,3,2,0,0,0.9
2020-08,2020-09,-0.078913,-0.072475,-0.082972,5,3,2,0,0,0.9
2020-09,2020-10,0.015203,-0.053429,0.031816,5,3,2,0,0,0.93
2020-10,2020-11,0.100418,0.085308,0.097219,5,4,1,0,0,0.95
2020-11,2020-12,0.252123,0.028777,0.044427,5,4,1,0,0,0.95
2020-12,2021-01,0.044101,0.147287,-0.03973,5,4,1,0,0,0.95
2021-01,2021-02,0.074108,0.202982,0.028719,5,3,1,1,0,0.85
2021-02,2021-03,-0.135193,-0.207746,-0.05569,5,4,1,0,0,0.95
2021-03,2021-04,0.083831,0.0,-0.002635,5,5,0,0,0,1.0
2021-04,2021-05,-0.005106,0.0,-0.000863,5,5,0,0,0,1.0
2021-05,2021-06,-0.040497,0.0,-0.007641,5,5,0,0,0,1.0
2021-06,2021-07,0.017718,0.0,0.01067,5,5,0,0,0,1.0
2021-07,2021-08,-0.053062,-0.051663,0.008817,5,2,2,1,0,0.8
2021-08,2021-09,-0.025687,0.0,0.032181,5,5,0,0,0,1.0
2021-09,2021-10,0.04735,-0.045454,0.058197,5,4,1,0,0,0.95
2021-10,2021-11,0.035401,0.011905,-0.002893,5,4,1,0,0,0.95
2021-11,2021-12,0.012606,0.035982,0.011341,5,2,3,0,0,0.85
2021-12,2022-01,-0.02884,-0.064267,-0.005125,5,4,1,0,0,0.95
2022-01,2022-02,0.029266,0.004785,0.026912,5,1,4,0,0,0.83
2022-02,2022-03,0.044309,0.097959,0.021672,5,4,1,0,0,0.95
2022-03,2022-04,0.139478,0.118182,0.021212,5,4,1,0,0,0.95
2022-04,2022-05,0.071922,0.069582,0.034621,5,2,3,0,0,0.85
2022-05,2022-06,-0.172037,-0.136778,-0.033173,5,1,4,0,0,0.8
2022-06,2022-07,0.091189,0.091129,0.023077,5,3,2,0,0,0.9
2022-07,2022-08,0.061363,0.043866,0.030107,5,2,3,0,0,0.85
2022-08,2022-09,0.015226,0.0,-0.0157,5,5,0,0,0,1.0
2022-09,2022-10,0.013254,0.017095,0.012721,5,1,3,1,0,0.75
2022-10,2022-11,-0.030536,-0.026036,0.004114,5,2,3,0,0,0.85
2022-11,2022-12,-0.056364,-0.057007,-0.02424,5,4,1,0,0,0.95
2022-12,2023-01,-0.054096,-0.062696,-0.001699,5,4,1,0,0,0.95
2023-01,2023-02,0.019454,0.0,-0.002772,5,5,0,0,0,1.0
2023-02,2023-03,0.028636,0.033679,-0.005794,5,4,1,0,0,0.95
2023-03,2023-04,0.022447,0.020008,0.012969,5,3,2,0,0,0.9
2023-04,2023-05,-0.14922,-0.275808,-0.033517,5,2,3,0,0,0.85
2023-05,2023-06,-0.00167,-0.004551,0.004288,5,1,4,0,0,0.8
2023-06,2023-07,0.008759,0.024931,0.035039,5,1,4,0,0,0.83
2023-07,2023-08,0.012232,0.0,0.009695,5,5,0,0,0,1.0
2023-08,2023-09,0.136351,0.107477,-0.005412,5,3,2,0,0,0.9
2023-09,2023-10,-0.09503,-0.096353,-0.030058,5,3,2,0,0,0.9
2023-10,2023-11,-0.01866,-0.071111,0.065989,5,4,0,0,1,0.8
2023-11,2023-12,0.082236,0.018957,0.030155,5,4,1,0,0,0.95
2023-12,2024-01,0.006534,0.010459,-0.015791,5,4,1,0,0,0.95
2024-01,2024-02,0.027973,0.05689,0.015887,5,2,3,0,0,0.85
2024-02,2024-03,0.049557,0.039045,-0.003158,5,1,4,0,0,0.8
2024-03,2024-04,-0.084805,-0.103642,0.004044,5,1,4,0,0,0.83
2024-04,2024-05,-0.048898,-0.144928,-0.02061,5,4,1,0,0,0.95
2024-05,2024-06,-0.019673,-0.04243,0.003892,5,1,3,0,1,0.68
2024-06,2024-07,0.074753,0.097202,0.016266,5,1,3,1,0,0.75
2024-07,2024-08,0.001904,0.039516,0.047058,5,2,3,0,0,0.85
2024-08,2024-09,0.007338,-0.014035,-0.021652,5,3,2,0,0,0.9
2024-09,2024-10,-0.042382,-0.04044,-0.008913,5,2,3,0,0,0.85
2024-10,2024-11,-0.071391,-0.087838,-0.052096,5,4,1,0,0,0.95
2024-11,2024-12,0.060765,0.034115,0.004671,5,2,3,0,0,0.91
2024-12,2025-01,-0.021632,0.010058,-0.00754,5,3,2,0,0,0.93
2025-01,2025-02,-0.0804,-0.085482,-0.108031,5,3,2,0,0,0.9
2025-02,2025-03,-0.014893,0.01258,-0.001386,5,2,3,0,0,0.85
2025-03,2025-04,0.118297,0.175657,0.128525,5,3,2,0,0,0.9
2025-04,2025-05,0.081702,0.208777,0.052832,5,3,2,0,0,0.9
2025-05,2025-06,-0.025842,-0.023002,-0.019446,5,3,2,0,0,0.9
2025-06,2025-07,0.15774,0.126004,0.082277,5,1,3,1,0,0.75
2025-07,2025-08,-0.048631,-0.067377,0.038834,5,2,3,0,0,0.85
2025-08,2025-09,0.151476,0.339801,0.042011,5,3,2,0,0,0.9
2025-09,2025-10,-0.000992,-0.005186,0.014925,5,2,3,0,0,0.85
2025-10,2025-11,-0.0234,0.065041,0.028232,5,4,1,0,0,0.95
2025-11,2025-12,0.07684,-0.031846,0.011481,5,3,2,0,0,0.9
2025-12,2026-01,0.014239,-0.086119,-0.047842,5,3,2,0,0,0.9
2026-01,2026-02,0.113802,0.100739,0.039476,5,3,2,0,0,0.9
2026-02,2026-03,-0.228225,-0.179034,-0.120822,5,3,2,0,0,0.9
2026-03,2026-04,0.129318,0.048617,-0.031684,5,3,2,0,0,0.9
2026-04,2026-05,-0.203625,0.057221,-0.121139,5,4,0,1,0,0.9
2026-05,2026-06,0.0,0.0,0.0,5,4,0,0,1,0.8
