formation_month,next_month,n_avoid,n_watch,n_accumulate,n_buy,cash_weight
2019-01,2019-02,2,3,0,0,0.85
2019-02,2019-03,5,0,0,0,1.0
2019-03,2019-04,3,2,0,0,0.9
2019-04,2019-05,5,0,0,0,1.0
2019-05,2019-06,3,2,0,0,0.9
2019-06,2019-07,4,1,0,0,0.95
2019-07,2019-08,4,1,0,0,0.95
2019-08,2019-09,5,0,0,0,1.0
2019-09,2019-10,3,2,0,0,0.9
2019-10,2019-11,5,0,0,0,1.0
2019-11,2019-12,4,1,0,0,0.95
2019-12,2020-01,2,3,0,0,0.85
2020-01,2020-02,1,4,0,0,0.8
2020-02,2020-03,2,3,0,0,0.85
2020-03,2020-04,1,2,2,0,0.7
2020-04,2020-05,2,1,0,2,0.55
2020-05,2020-06,2,1,0,2,0.55
2020-06,2020-07,3,1,0,1,0.75
2020-07,2020-08,3,2,0,0,0.9
2020-08,2020-09,3,2,0,0,0.9
2020-09,2020-10,3,2,0,0,0.93
2020-10,2020-11,4,1,0,0,0.95
2020-11,2020-12,4,1,0,0,0.95
2020-12,2021-01,4,1,0,0,0.95
2021-01,2021-02,3,1,1,0,0.85
2021-02,2021-03,4,1,0,0,0.95
2021-03,2021-04,5,0,0,0,1.0
2021-04,2021-05,5,0,0,0,1.0
2021-05,2021-06,5,0,0,0,1.0
2021-06,2021-07,5,0,0,0,1.0
2021-07,2021-08,2,2,1,0,0.8
2021-08,2021-09,5,0,0,0,1.0
2021-09,2021-10,4,1,0,0,0.95
2021-10,2021-11,4,1,0,0,0.95
2021-11,2021-12,2,3,0,0,0.85
2021-12,2022-01,4,1,0,0,0.95
2022-01,2022-02,1,4,0,0,0.83
2022-02,2022-03,4,1,0,0,0.95
2022-03,2022-04,4,1,0,0,0.95
2022-04,2022-05,2,3,0,0,0.85
2022-05,2022-06,1,4,0,0,0.8
2022-06,2022-07,3,2,0,0,0.9
2022-07,2022-08,2,3,0,0,0.85
2022-08,2022-09,5,0,0,0,1.0
2022-09,2022-10,1,3,1,0,0.75
2022-10,2022-11,2,3,0,0,0.85
2022-11,2022-12,4,1,0,0,0.95
2022-12,2023-01,4,1,0,0,0.95
2023-01,2023-02,5,0,0,0,1.0
2023-02,2023-03,4,1,0,0,0.95
2023-03,2023-04,3,2,0,0,0.9
2023-04,2023-05,2,3,0,0,0.85
2023-05,2023-06,1,4,0,0,0.8
2023-06,2023-07,1,4,0,0,0.83
2023-07,2023-08,5,0,0,0,1.0
2023-08,2023-09,3,2,0,0,0.9
2023-09,2023-10,3,2,0,0,0.9
2023-10,2023-11,4,0,0,1,0.8
2023-11,2023-12,4,1,0,0,0.95
2023-12,2024-01,4,1,0,0,0.95
2024-01,2024-02,2,3,0,0,0.85
2024-02,2024-03,1,4,0,0,0.8
2024-03,2024-04,1,4,0,0,0.83
2024-04,2024-05,4,1,0,0,0.95
2024-05,2024-06,1,3,0,1,0.68
2024-06,2024-07,1,3,1,0,0.75
2024-07,2024-08,2,3,0,0,0.85
2024-08,2024-09,3,2,0,0,0.9
2024-09,2024-10,2,3,0,0,0.85
2024-10,2024-11,4,1,0,0,0.95
2024-11,2024-12,2,3,0,0,0.91
2024-12,2025-01,3,2,0,0,0.93
2025-01,2025-02,3,2,0,0,0.9
2025-02,2025-03,2,3,0,0,0.85
2025-03,2025-04,3,2,0,0,0.9
2025-04,2025-05,3,2,0,0,0.9
2025-05,2025-06,3,2,0,0,0.9
2025-06,2025-07,1,3,1,0,0.75
2025-07,2025-08,2,3,0,0,0.85
2025-08,2025-09,3,2,0,0,0.9
2025-09,2025-10,2,3,0,0,0.85
2025-10,2025-11,4,1,0,0,0.95
2025-11,2025-12,3,2,0,0,0.9
2025-12,2026-01,3,2,0,0,0.9
2026-01,2026-02,3,2,0,0,0.9
2026-02,2026-03,3,2,0,0,0.9
2026-03,2026-04,3,2,0,0,0.9
2026-04,2026-05,4,0,1,0,0.9
2026-05,2026-06,4,0,0,1,0.8
