formation,eval,EXCL.JK,ADRO.JK,BBCA.JK,ICBP.JK,INDF.JK,MDKA.JK,SIDO.JK,BRPT.JK,MAPI.JK,CPIN.JK,ESSA.JK,TLKM.JK,MIKA.JK,HEAL.JK,AKRA.JK,ANTM.JK,TPIA.JK,KLBF.JK,ITMG.JK,PTBA.JK,UNTR.JK,PGAS.JK,BBRI.JK,BMRI.JK,INTP.JK,SMGR.JK,BBNI.JK,ASII.JK,GOTO.JK,AMMN.JK
2019-01,2019-02,20%,20%,20%,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02,2019-03,,20%,,,,20%,20%,20%,20%,,,,,,,,,,,,,,,,,,,,,
2019-03,2019-04,,20%,,,,,,20%,,20%,20%,20%,,,,,,,,,,,,,,,,,,
2019-04,2019-05,,20%,,,,,20%,,,20%,,,20%,20%,,,,,,,,,,,,,,,,
2019-05,2019-06,,,,,,20%,,,,20%,20%,,,20%,20%,,,,,,,,,,,,,,,
2019-06,2019-07,,,,,,20%,,,,20%,20%,20%,,,,20%,,,,,,,,,,,,,,
2019-07,2019-08,,20%,,20%,,,,,,20%,20%,,,,,,20%,,,,,,,,,,,,,
2019-08,2019-09,,20%,,,,,20%,,,20%,20%,,,,,,,20%,,,,,,,,,,,,
2019-09,2019-10,,,,,,,20%,,,20%,20%,,20%,,,,,,20%,,,,,,,,,,,
2019-10,2019-11,,,,,,,20%,,,20%,20%,,,20%,,,,,20%,,,,,,,,,,,
2019-11,2019-12,,,,,,,,,,,20%,,,20%,,,,,,20%,20%,20%,,,,,,,,
2019-12,2020-01,,,20%,,,,,,,,20%,,,,,,,,,20%,,,20%,20%,,,,,,
2020-01,2020-02,,20%,,,,,,,,,,,,,20%,,,,20%,20%,20%,,,,,,,,,
2020-02,2020-03,,20%,,,,,,20%,,20%,,,,,,,,,20%,20%,,,,,,,,,,
2020-03,2020-04,,20%,,,,,,20%,,20%,,,20%,,,,,,,20%,,,,,,,,,,
2020-04,2020-05,20%,,,,,,,,20%,,,,,,20%,,,,,20%,,,,,20%,,,,,
2020-05,2020-06,20%,,,,,,,,20%,,,,,,20%,,,,,,,,,,20%,20%,,,,
2020-06,2020-07,20%,,,,,,,,20%,,,,,,20%,,,,,,,,,,,20%,20%,,,
2020-07,2020-08,,20%,,,,,,,,,,,,,20%,,,,,,,20%,20%,,20%,,,,,
2020-08,2020-09,,,,,,,,,,,20%,,,,20%,20%,,,,,,20%,,,,,20%,,,
2020-09,2020-10,,20%,,,,,,20%,,20%,,,,,,20%,,,,,,,,20%,,,,,,
2020-10,2020-11,20%,20%,,,,,20%,20%,,,,,,,,,,,,,,20%,,,,,,,,
2020-11,2020-12,20%,,,,,,,20%,20%,,,,,,,,,,,,,20%,,,20%,,,,,
2020-12,2021-01,,,20%,,,,,20%,20%,,20%,,,,,,,,,,,,,,,20%,,,,
2021-01,2021-02,20%,,,,,,,,20%,,20%,,,,,20%,,,,,,20%,,,,,,,,
2021-02,2021-03,,,,,,20%,,20%,,,,,,,20%,20%,,20%,,,,,,,,,,,,
2021-03,2021-04,,,,,,20%,,20%,,,,,,20%,,20%,,,,,,20%,,,,,,,,
2021-04,2021-05,,,,,,,20%,20%,20%,,20%,,,,,20%,,,,,,,,,,,,,,
2021-05,2021-06,20%,,,,,,,20%,,,,,,,,20%,20%,,,,,20%,,,,,,,,
2021-06,2021-07,,,,,,20%,,20%,20%,,,,,,,20%,,,,,,20%,,,,,,,,
2021-07,2021-08,20%,20%,,,,,,20%,20%,,,,,,,20%,,,,,,,,,,,,,,
2021-08,2021-09,,,,,,,,,,,20%,,20%,,20%,20%,20%,,,,,,,,,,,,,
2021-09,2021-10,,,,,,,,20%,,,20%,,,,20%,20%,,,,,,,,,,20%,,,,
2021-10,2021-11,,,,,,,,20%,,,20%,,,,,,,20%,,,,,,,20%,20%,,,,
2021-11,2021-12,20%,,,,,20%,,,,,20%,20%,,,,,,,,,,,,,,20%,,,,
2021-12,2022-01,20%,,,,,20%,,,,,20%,,,20%,,,,,,,,,,,,20%,,,,
2022-01,2022-02,20%,,,,,,,20%,,,20%,,20%,,,20%,,,,,,,,,,,,,,
2022-02,2022-03,,20%,,,,,,,,,,,20%,,,20%,,,,20%,20%,,,,,,,,,
2022-03,2022-04,,,20%,,,,,,,,20%,,,,,,20%,,,,,,20%,20%,,,,,,
2022-04,2022-05,,,,,,,,,,,,,,,20%,,,,20%,20%,,,,20%,,,,20%,,
2022-05,2022-06,,,,,,,,,,,20%,,,,20%,,,20%,,20%,,,,,,20%,,,,
2022-06,2022-07,,,,20%,,20%,,,,,20%,,,20%,,,,,,,,,,,,20%,,,,
2022-07,2022-08,20%,,,,,20%,,,,,20%,,,,,20%,,,,20%,,,,,,,,,,
2022-08,2022-09,,,20%,,,20%,,20%,,,20%,,,,,20%,,,,,,,,,,,,,,
2022-09,2022-10,,,20%,,,20%,,20%,,,20%,,,,,20%,,,,,,,,,,,,,,
2022-10,2022-11,,,,,,20%,,,,,20%,,,,,20%,,,,,,,,20%,,,,,20%,
2022-11,2022-12,,,,,,20%,,,,,20%,,,,,20%,,,,,,,,,,,20%,,20%,
2022-12,2023-01,,,,,,20%,,,,,20%,,,,,20%,,,,,,,20%,,,,,,20%,
2023-01,2023-02,,20%,,,,,,,,,20%,,20%,,,,,,,,,,,,,,,20%,20%,
2023-02,2023-03,,,,,,,,20%,,,20%,,,,,,,,,20%,,,,,,,,20%,20%,
2023-03,2023-04,,20%,20%,,,,,,,,20%,,,,,,,,,,,,,20%,,,,,20%,
2023-04,2023-05,,,20%,,,,,,,,20%,,,,,,,,,,,,20%,,20%,,,,20%,
2023-05,2023-06,20%,20%,,,,20%,,,,,,,,,,,,,,20%,,,,,,,,,20%,
2023-06,2023-07,20%,20%,,,,20%,,,,,20%,,,,,,,,20%,,,,,,,,,,,
2023-07,2023-08,,20%,,,,20%,,,,,20%,,,,,,,,20%,,,,,,,,,,20%,
2023-08,2023-09,,20%,,,,20%,,,,,20%,,,,,,,,,,,,,20%,,,,,20%,
2023-09,2023-10,,,,,,20%,,,,,20%,,,,20%,,,,,,,,,,,,20%,,20%,
