Date,ticker,exit_state,exit_flag,triggers,rank,horizon,fwd_return
2022-03-01,ADRO.JK,HEALTHY,0,,2,30D,0.042635605746727645
2022-03-15,ADRO.JK,EXIT,1,D2,2,30D,0.23616237022885977
2022-03-16,ADRO.JK,HEALTHY,0,,2,30D,0.1737588504895009
2022-03-17,ADRO.JK,EXIT,1,D2,2,30D,0.20072990463989626
2022-03-22,ADRO.JK,HEALTHY,0,,2,30D,0.16785702033085204
2022-03-29,ADRO.JK,EXIT,1,D2,2,30D,0.20577638743397486
2022-04-08,ADRO.JK,HEALTHY,0,,2,30D,0.029524446453770503
2022-06-15,ADRO.JK,EXIT,1,D2,2,30D,-0.03618430802386907
2022-07-26,ADRO.JK,HEALTHY,0,,2,30D,0.07911398593476204
2022-08-05,ADRO.JK,EXIT,1,D2,2,30D,0.2907349169571931
2022-08-12,ADRO.JK,HEALTHY,0,,2,30D,0.25705321961518934
2022-08-16,ADRO.JK,EXIT,1,D2,2,30D,0.2888888231320341
2022-08-18,ADRO.JK,HEALTHY,0,,2,30D,0.20923061790439568
2022-08-22,ADRO.JK,EXIT,1,D2,2,30D,0.23492063805191377
2022-08-23,ADRO.JK,HEALTHY,0,,2,30D,0.16716401176068207
2022-08-26,ADRO.JK,HEALTHY,0,,2,30D,0.1319647835549682
2022-11-10,ADRO.JK,EXIT,1,D1+D2,1,30D,0.05747118226947956
2022-11-29,ADRO.JK,HEALTHY,0,,1,30D,-0.03350509983232641
2022-12-14,ADRO.JK,HEALTHY,0,,1,30D,-0.14800026158689827
2022-12-27,ADRO.JK,EXIT,1,D1,1,30D,-0.1412872767738781
2022-12-30,ADRO.JK,HEALTHY,0,,1,30D,-0.17748525536768822
2023-01-03,ADRO.JK,EXIT,1,D1,1,30D,-0.18465916799838067
2024-01-29,ADRO.JK,HEALTHY,0,,3,30D,0.037500020979924775
2024-01-30,ADRO.JK,EXIT,1,D1,3,30D,0.06276142212286495
2024-01-31,ADRO.JK,HEALTHY,0,,3,30D,0.09583338694869648
2024-02-13,ADRO.JK,HEALTHY,0,,10,30D,0.06048378888188655
2024-02-22,ADRO.JK,HEALTHY,0,,10,30D,0.12295087379931569
2024-02-27,ADRO.JK,EXIT,1,D1,10,30D,0.10924388427012355
2024-03-01,ADRO.JK,HEALTHY,0,,7,30D,0.08032143630186273
2024-07-10,ADRO.JK,HEALTHY,0,,3,30D,0.1000000171695219
2024-07-17,ADRO.JK,HEALTHY,0,,3,30D,0.10689649903146736
2024-08-22,ADRO.JK,HEALTHY,0,,3,30D,0.10119049383206358
2024-11-04,ADRO.JK,HEALTHY,0,,7,30D,-0.04669579412877023
2024-11-12,ADRO.JK,HEALTHY,0,,7,30D,0.05140293414687447
2024-11-28,ADRO.JK,HEALTHY,0,,7,30D,-0.04322404098349475
2024-11-29,ADRO.JK,EXIT,1,D2,7,30D,0.2344416056847709
2024-12-05,ADRO.JK,EXIT,1,D2,7,30D,0.04375546624149762
2024-12-09,ADRO.JK,HEALTHY,0,,7,30D,-0.08476656190627552
2025-01-02,ADRO.JK,HEALTHY,0,,7,30D,-0.06719371861075119
2025-01-09,ADRO.JK,EXIT,1,D2,7,30D,-0.04273504108864434
2025-01-14,ADRO.JK,HEALTHY,0,,7,30D,-0.03389825328917673
2025-01-21,ADRO.JK,EXIT,1,D2,7,30D,-0.05194797254438954
2025-02-06,ADRO.JK,EXIT,1,D1+D2,7,30D,-0.12663752335522982
2022-01-05,AKRA.JK,EXIT,1,D1,99,30D,-0.12621359420943645
2022-01-12,AKRA.JK,EXIT,1,D1,99,30D,-0.1463414110260337
2022-01-14,AKRA.JK,EXIT,1,D1,99,30D,-0.15757579454397208
2022-03-09,AKRA.JK,HEALTHY,0,,7,30D,0.13580247297081116
2022-03-10,AKRA.JK,EXIT,1,D2,7,30D,0.15723274222288341
2022-03-16,AKRA.JK,HEALTHY,0,,7,30D,0.15527943321525317
2022-06-21,AKRA.JK,HEALTHY,0,,4,30D,0.018604860982552207
2022-06-30,AKRA.JK,EXIT,1,D2,4,30D,0.21359212806144878
2022-07-15,AKRA.JK,EXIT,1,D2,4,30D,0.19065208811840417
2022-07-19,AKRA.JK,HEALTHY,0,,4,30D,0.07546898341017383
2022-09-06,AKRA.JK,HEALTHY,0,,3,30D,0.1694211661369398
2022-09-13,AKRA.JK,HEALTHY,0,,3,30D,0.1553783520460239
2022-10-26,AKRA.JK,HEALTHY,0,,3,30D,-0.0215054224713781
2022-11-10,AKRA.JK,HEALTHY,0,,4,30D,-0.06849314461480649
2022-12-13,AKRA.JK,HEALTHY,0,,3,30D,-0.11888106826121969
2022-12-19,AKRA.JK,EXIT,1,D2,3,30D,-0.00746266134619511
2022-12-28,AKRA.JK,HEALTHY,0,,3,30D,-0.021126918580050003
2023-01-04,AKRA.JK,EXIT,1,D1+D2,3,30D,0.05038748901526202
2023-01-30,AKRA.JK,EXIT,1,D1,3,30D,0.029739618478759944
2023-02-01,AKRA.JK,HEALTHY,0,,2,30D,0.05474446264100763
2023-02-06,AKRA.JK,EXIT,1,D2,2,30D,0.06844114063381435
2023-02-14,AKRA.JK,HEALTHY,0,,2,30D,0.03321040213618942
2023-02-15,AKRA.JK,EXIT,1,D2,2,30D,0.011193931669116974
2023-02-24,AKRA.JK,HEALTHY,0,,2,30D,0.1535714916989459
2023-05-12,AKRA.JK,EXIT,1,D2,1,30D,0.06934312734305115
2023-05-16,AKRA.JK,EXIT,1,D1+D2,1,30D,0.11153821496276661
2023-05-31,AKRA.JK,EXIT,1,D1+D2,1,30D,0.05128190735626159
2023-06-14,AKRA.JK,HEALTHY,0,,1,30D,-0.054421961911593986
2023-06-20,AKRA.JK,HEALTHY,0,,1,30D,-0.086378876646236
2023-07-07,AKRA.JK,HEALTHY,0,,1,30D,-0.08275865564404139
2023-07-17,AKRA.JK,EXIT,1,D1,1,30D,-0.03463009513095794
2023-07-28,AKRA.JK,EXIT,1,D1,1,30D,0.005663990403650843
2023-08-29,AKRA.JK,HEALTHY,0,,4,30D,0.1217711853366632
2023-10-09,AKRA.JK,HEALTHY,0,,5,30D,0.03508754033725392
2023-10-19,AKRA.JK,HEALTHY,0,,5,30D,0.027899505389880286
2023-10-31,AKRA.JK,HEALTHY,0,,5,30D,0.003826705168369804
2023-11-20,AKRA.JK,HEALTHY,0,,4,30D,-0.00684934848887242
2023-12-07,AKRA.JK,EXIT,1,D1,6,30D,0.1722847355590562
2023-12-28,AKRA.JK,HEALTHY,0,,6,30D,0.13148781337860105
2024-02-29,AKRA.JK,HEALTHY,0,,5,30D,0.04411764831648335
2024-04-16,AKRA.JK,HEALTHY,0,,6,30D,-0.08539934907357405
2024-04-26,AKRA.JK,EXIT,1,D1,6,30D,0.034277987566997625
2024-05-16,AKRA.JK,EXIT,1,D1,6,30D,-0.009493656765102831
2024-05-21,AKRA.JK,EXIT,1,D1,6,30D,0.0414013628402532
2024-05-27,AKRA.JK,EXIT,1,D1,6,30D,0.041139328056362556
2024-06-26,AKRA.JK,HEALTHY,0,,6,30D,-0.07926837289551192
2024-07-01,AKRA.JK,EXIT,1,D1,13,30D,-0.0468749325262362
2024-08-22,AKRA.JK,EXIT,1,D2,15,30D,0.04109590832581289
