exit_state,rank_bucket,30D_avg,win_rate,n,decision
HEALTHY,Top 10,1.24%,55.1%,1995,HOLD
EXIT WATCH,Rank 11-20,1.21%,48.5%,1969,HOLD (caution)
EXIT WATCH,Rank >20,2.06%,50.8%,1991,HOLD
WEAKENING,Top 10,1.62%,60.0%,819,HOLD
WEAKENING,Rank 11-20,-1.39%,41.3%,431,REVIEW
WEAKENING,Rank >20,2.36%,47.5%,568,HOLD (caution)
EXIT RISK,Top 10,-0.23%,45.5%,1144,REVIEW
EXIT RISK,Rank 11-20,-0.82%,44.9%,704,REVIEW
EXIT RISK,Rank >20,-0.48%,41.9%,774,REVIEW
EXIT,Top 10,1.70%,53.0%,1936,HOLD
EXIT,Rank 11-20,0.34%,46.7%,1962,HOLD (caution)
EXIT,Rank >20,0.85%,46.9%,1962,HOLD (caution)
