month,portfolio_return,benchmark_return,excess_return,top5
2022-02,0.099469,0.010319,0.08915,"['ESSA.JK', 'ADRO.JK', 'HRUM.JK', 'BMRI.JK', 'BBNI.JK']"
2022-03,0.184549,0.002588,0.181961,"['ESSA.JK', 'ADRO.JK', 'HRUM.JK', 'BBRI.JK', 'BMRI.JK']"
2022-04,0.105948,0.004467,0.101481,"['ESSA.JK', 'ADRO.JK', 'INCO.JK', 'BBRI.JK', 'BMRI.JK']"
2022-05,0.015707,0.01583,-0.000123,"['ESSA.JK', 'ADRO.JK', 'INCO.JK', 'HRUM.JK', 'BMRI.JK']"
2022-06,-0.162712,-0.004432,-0.15828,"['ESSA.JK', 'ADRO.JK', 'INCO.JK', 'PTBA.JK', 'AKRA.JK']"
2022-07,0.12685,-0.000818,0.127668,"['ESSA.JK', 'ADRO.JK', 'PTBA.JK', 'AKRA.JK', 'AMRT.JK']"
2022-08,0.040686,0.00267,0.038016,"['ESSA.JK', 'ADRO.JK', 'PTBA.JK', 'AKRA.JK', 'BMRI.JK']"
2022-09,0.03623,0.000654,0.035576,"['ESSA.JK', 'ADRO.JK', 'MEDC.JK', 'PTBA.JK', 'AKRA.JK']"
2022-10,0.08618,0.006073,0.080108,"['ADRO.JK', 'MEDC.JK', 'ESSA.JK', 'AKRA.JK', 'PTBA.JK']"
2022-11,-0.044022,0.009875,-0.053897,"['ADRO.JK', 'ESSA.JK', 'MEDC.JK', 'AKRA.JK', 'BMRI.JK']"
2022-12,-0.047828,-0.001379,-0.046449,"['ADRO.JK', 'ESSA.JK', 'MEDC.JK', 'BMRI.JK', 'AKRA.JK']"
2023-01,0.052071,-0.004822,0.056893,"['ADRO.JK', 'ESSA.JK', 'MEDC.JK', 'AKRA.JK', 'INCO.JK']"
2023-02,-0.021648,-0.001683,-0.019965,"['MEDC.JK', 'INCO.JK', 'ADRO.JK', 'ESSA.JK', 'AKRA.JK']"
2023-03,-0.026394,-0.00054,-0.025854,"['MEDC.JK', 'ESSA.JK', 'AKRA.JK', 'ADRO.JK', 'INCO.JK']"
2023-04,0.041023,-0.004285,0.045308,"['MEDC.JK', 'AKRA.JK', 'BMRI.JK', 'BBRI.JK', 'ADRO.JK']"
2023-05,-0.09697,-0.000476,-0.096494,"['MEDC.JK', 'BBRI.JK', 'PTBA.JK', 'AKRA.JK', 'INCO.JK']"
2023-06,0.007107,-0.000418,0.007525,"['BBRI.JK', 'MEDC.JK', 'AKRA.JK', 'BMRI.JK', 'BRPT.JK']"
2023-07,0.084207,0.004511,0.079695,"['BBRI.JK', 'MEDC.JK', 'BMRI.JK', 'AKRA.JK', 'PTBA.JK']"
2023-08,-0.005664,-0.001923,-0.003741,"['BBRI.JK', 'BMRI.JK', 'MEDC.JK', 'AKRA.JK', 'HRUM.JK']"
2023-09,0.152928,0.000297,0.15263,"['BBRI.JK', 'BRPT.JK', 'BMRI.JK', 'MEDC.JK', 'AKRA.JK']"
2023-10,-0.118947,0.002423,-0.12137,"['MEDC.JK', 'BRPT.JK', 'HRUM.JK', 'BBRI.JK', 'BMRI.JK']"
2023-11,-0.040376,0.006346,-0.046722,"['MEDC.JK', 'BRPT.JK', 'HRUM.JK', 'BBRI.JK', 'BMRI.JK']"
2023-12,0.063903,-0.004257,0.06816,"['MEDC.JK', 'BRPT.JK', 'ADRO.JK', 'BMRI.JK', 'AKRA.JK']"
2024-01,-0.005739,0.002186,-0.007925,"['MEDC.JK', 'BRPT.JK', 'BBRI.JK', 'ADRO.JK', 'BMRI.JK']"
2024-02,0.009788,-0.001709,0.011497,"['BMRI.JK', 'BBCA.JK', 'BBRI.JK', 'BBNI.JK', 'ARTO.JK']"
2024-03,0.034684,-0.002911,0.037595,"['BMRI.JK', 'BBCA.JK', 'BBRI.JK', 'BBNI.JK', 'ARTO.JK']"
2024-04,-0.112794,0.010958,-0.123752,"['BMRI.JK', 'BBRI.JK', 'BBCA.JK', 'BBNI.JK', 'ARTO.JK']"
2024-05,-0.072696,-0.009014,-0.063682,"['BMRI.JK', 'BBCA.JK', 'ARTO.JK', 'BBNI.JK', 'BBRI.JK']"
2024-06,-0.006574,0.013724,-0.020298,"['BMRI.JK', 'BBCA.JK', 'ADRO.JK', 'UNTR.JK', 'INCO.JK']"
2024-07,0.051552,0.001919,0.049633,"['BMRI.JK', 'BBCA.JK', 'ADRO.JK', 'PGAS.JK', 'MEDC.JK']"
2024-08,0.046937,0.005654,0.041283,"['BBCA.JK', 'BMRI.JK', 'ADRO.JK', 'PGAS.JK', 'UNTR.JK']"
2024-09,-0.004466,-0.021955,0.017489,"['BMRI.JK', 'BBCA.JK', 'ADRO.JK', 'UNTR.JK', 'PGAS.JK']"
2024-10,-0.024378,0.000551,-0.024929,"['BBCA.JK', 'BMRI.JK', 'ARTO.JK', 'ADRO.JK', 'UNTR.JK']"
2024-11,-0.056895,-0.011929,-0.044966,"['ARTO.JK', 'BBCA.JK', 'BMRI.JK', 'UNTR.JK', 'ADRO.JK']"
2024-12,-0.025004,0.006158,-0.031162,"['BBCA.JK', 'UNTR.JK', 'BMRI.JK', 'ASII.JK', 'INDF.JK']"
2025-01,-0.011774,0.00505,-0.016824,"['BBCA.JK', 'BMRI.JK', 'UNTR.JK', 'INDF.JK', 'ADRO.JK']"
2025-02,-0.031686,-0.033128,0.001442,"['EMTK.JK', 'ANTM.JK', 'ADRO.JK', 'PGAS.JK', 'INDF.JK']"
2025-03,-0.014191,0.005912,-0.020103,"['ANTM.JK', 'PGAS.JK', 'EMTK.JK', 'ADRO.JK', 'PTBA.JK']"
2025-04,0.09096,0.002626,0.088335,"['EMTK.JK', 'ANTM.JK', 'PGAS.JK', 'BBCA.JK', 'GOTO.JK']"
2025-05,0.06781,-0.003215,0.071025,"['ANTM.JK', 'PGAS.JK', 'EMTK.JK', 'GOTO.JK', 'BUKA.JK']"
2025-06,-0.041814,0.00439,-0.046204,"['ANTM.JK', 'EMTK.JK', 'PGAS.JK', 'MEDC.JK', 'ADRO.JK']"
2025-07,0.071313,-0.008682,0.079995,"['ANTM.JK', 'MEDC.JK', 'PGAS.JK', 'EMTK.JK', 'INDF.JK']"
2025-08,0.223736,-0.015291,0.239027,"['ANTM.JK', 'MEDC.JK', 'EMTK.JK', 'BUKA.JK', 'PGAS.JK']"
2025-09,0.042735,-0.007655,0.05039,"['ANTM.JK', 'EMTK.JK', 'BUKA.JK', 'PGAS.JK', 'MEDC.JK']"
2025-10,-0.030875,-0.002467,-0.028408,"['ANTM.JK', 'MEDC.JK', 'EMTK.JK', 'PGAS.JK', 'BRPT.JK']"
2025-11,0.019506,-0.004348,0.023854,"['ANTM.JK', 'EMTK.JK', 'MEDC.JK', 'ASII.JK', 'PGAS.JK']"
2025-12,0.012871,0.00031,0.012561,"['MEDC.JK', 'EMTK.JK', 'ASII.JK', 'ANTM.JK', 'PGAS.JK']"
