rank,feature,composite_score,cohens_d,spearman_ic,lift,mw_pval
1,rs_20d,1.0,0.563221,0.301791,-22.273373,0.0
2,rs_change_20d,0.7489338084352954,0.498571,0.255271,-5.694006,0.0
3,above_ma20,0.7235825101151807,0.555378,0.267975,1.537415,0.0
4,volume_ratio,0.6066953132141337,0.419861,0.216492,1.346006,0.0
5,recovery_from_60d_low,0.5029491983688568,0.193193,0.236031,1.420747,0.0
6,above_ma50,0.36521483658725434,0.380262,0.187083,1.380952,4e-06
7,rs_60d,0.35968758161849135,0.318606,0.121101,9.19693,0.003809
8,volatility_20d,0.35771527316187085,0.363325,0.191318,1.188288,3e-06
9,rs_120d,0.257509552467193,0.247505,0.115428,3.663342,0.006744
10,rs_252d,0.2527804792501277,0.295687,0.081385,3.519903,0.064027
11,above_ma100,0.2454914307907436,0.25528,0.126819,1.245161,0.001814
12,rs_change_60d,0.22250366230219207,0.197355,0.107168,-1.545302,0.012689
13,momentum_slope,0.18539291276901748,0.175344,0.085817,-0.858042,0.037951
14,volatility_60d,0.16762624785645902,-0.041907,0.170359,0.88655,3.6e-05
15,above_ma200,0.16667596927316422,0.173274,0.086456,1.165605,0.033482
16,death_cross,0.10950532778717785,0.115088,0.057544,,0.157642
17,ma50,0.09215605303164773,-0.097303,-0.046861,0.896518,0.253913
18,ma20,0.0881476173477694,-0.092739,-0.04504,0.901117,0.271624
19,drawdown_252d,0.08652598848557551,0.082901,0.049787,0.935909,0.220813
20,distance_from_high_252d,0.08652598848557551,0.082901,0.049787,0.935909,0.220813
21,ma100,0.07320983390045936,-0.080686,-0.035055,0.91384,0.396647
22,ma200,0.06980503198691099,-0.074712,-0.034884,0.920685,0.407147
23,golden_cross,0.0,0.0,0.0,1.0,1.0
