feature,loser_mean,control_mean,cohens_d,spearman_ic,spearman_p,t_stat,t_pval,mw_stat,mw_pval,lift,n_loser,n_control
rs_20d,0.077389,-0.003474,0.563221,0.301791,0.0,6.782073,0.0,56703,0.0,-22.273373,290,290
above_ma20,0.745875,0.485149,0.555378,0.267975,0.0,6.835888,0.0,57873,0.0,1.537415,303,303
rs_change_20d,0.07987,-0.014027,0.498571,0.255271,0.0,5.949848,0.0,52399,0.0,-5.694006,285,284
volume_ratio,1.399055,1.039412,0.419861,0.216492,0.0,5.126728,0.0,55688,0.0,1.346006,298,299
above_ma50,0.669967,0.485149,0.380262,0.187083,4e-06,4.680463,4e-06,54388,4e-06,1.380952,303,303
volatility_20d,0.421933,0.355076,0.363325,0.191318,2e-06,4.437322,1.1e-05,54393,3e-06,1.188288,298,299
rs_60d,0.078881,0.008577,0.318606,0.121101,0.003724,3.80997,0.000158,46617,0.003809,9.19693,286,286
rs_252d,0.20968,0.05957,0.295687,0.081385,0.063929,3.349983,0.000887,36831,0.064027,3.519903,257,262
above_ma100,0.636964,0.511551,0.25528,0.126819,0.001759,3.142124,0.00176,51661,0.001814,1.245161,303,303
rs_120d,0.130334,0.035578,0.247505,0.115428,0.00663,2.903213,0.003867,43164,0.006744,3.663342,275,277
rs_change_60d,0.039253,-0.025401,0.197355,0.107168,0.012546,2.295928,0.022073,41264,0.012689,-1.545302,270,272
recovery_from_60d_low,0.275791,0.194117,0.193193,0.236031,0.0,2.377928,0.017798,58415,0.0,1.420747,303,303
momentum_slope,0.000278,-0.000323,0.175344,0.085817,0.03782,2.122319,0.034234,47178,0.037951,-0.858042,293,293
above_ma200,0.60396,0.518152,0.173274,0.086456,0.033348,2.132754,0.033348,49843,0.033482,1.165605,303,303
death_cross,0.006601,0.0,0.115088,0.057544,0.157127,1.416561,0.157642,46207,0.157642,,303,303
ma50,3756.655786,4190.275586,-0.097303,-0.046861,0.254154,-1.185744,0.23621,41718,0.253913,0.896518,297,297
ma20,3785.771403,4201.198264,-0.092739,-0.04504,0.271881,-1.133241,0.257578,42234,0.271624,0.901117,298,299
drawdown_252d,-0.175118,-0.18711,0.082901,0.049787,0.221012,1.020388,0.307953,48543,0.220813,0.935909,303,303
distance_from_high_252d,-0.175118,-0.18711,0.082901,0.049787,0.221012,1.020388,0.307953,48543,0.220813,0.935909,303,303
ma100,3790.747358,4148.153044,-0.080686,-0.035055,0.396972,-0.976607,0.329176,41187,0.396647,0.91384,293,293
ma200,3759.623512,4083.508549,-0.074712,-0.034884,0.407482,-0.88911,0.374328,38431,0.407147,0.920685,282,284
volatility_60d,0.426188,0.480727,-0.041907,0.170359,3.2e-05,-0.508953,0.61116,52072,3.6e-05,0.88655,295,295
golden_cross,0.0033,0.0033,0.0,0.0,1.0,0.0,1.0,45904,1.0,1.0,303,303
