,fwd_return_1m,fwd_return_1m,fwd_return_1m,fwd_return_3m,fwd_return_3m,fwd_return_3m,fwd_return_6m,fwd_return_6m,fwd_return_6m
,mean,median,count,mean,median,count,mean,median,count
transition,,,,,,,,,
ACCUMULATE → ACCUMULATE,-0.0133,-0.0071,18,-0.0511,-0.0298,18,-0.1046,-0.0396,18
ACCUMULATE → AVOID,-0.023,-0.057,34,-0.064,-0.0268,34,-0.0706,-0.038,34
ACCUMULATE → BUY,-0.0019,-0.0,35,-0.0398,-0.0512,35,-0.0752,-0.0839,34
ACCUMULATE → WATCH,0.0332,0.0332,2,0.0604,0.0604,2,-0.1237,-0.1237,2
ACCUMULATE → WEAK,-0.0242,-0.0101,34,-0.0819,-0.0779,34,-0.1365,-0.0764,33
AVOID → ACCUMULATE,-0.0093,-0.0019,42,-0.0999,-0.0781,42,-0.1767,-0.106,41
AVOID → AVOID,-0.0032,-0.0,781,-0.0021,0.0091,781,-0.0245,0.0025,765
AVOID → BUY,0.0492,-0.0123,28,0.034,-0.0115,28,-0.0462,0.0089,27
AVOID → WATCH,0.0039,0.0021,151,-0.0313,-0.0235,151,-0.0456,-0.0221,145
AVOID → WEAK,-0.0001,0.0082,46,-0.0318,-0.002,46,-0.0629,-0.0189,45
BUY → AVOID,0.002,-0.0081,43,0.0044,-0.0321,43,-0.0139,-0.0,41
BUY → BUY,-0.0119,-0.0068,218,-0.0264,-0.0203,218,-0.0592,-0.041,211
BUY → WATCH,-0.0408,-0.0408,1,-0.1258,-0.1258,1,0.0151,0.0151,1
BUY → WEAK,-0.0117,-0.0113,85,-0.0342,-0.0351,85,-0.0497,-0.0253,83
WATCH → ACCUMULATE,-0.0298,-0.039,39,0.0092,0.0193,39,0.0036,0.0109,39
WATCH → AVOID,-0.0358,-0.0381,73,-0.0322,-0.0213,73,-0.0556,-0.068,71
WATCH → BUY,-0.016,-0.0145,31,-0.0679,-0.0553,31,-0.0673,-0.1188,31
WATCH → WATCH,-0.0201,-0.0038,53,-0.0616,-0.0448,53,-0.0836,-0.0574,52
WATCH → WEAK,0.0005,-0.0086,57,-0.0077,-0.0109,57,-0.0532,-0.0472,55
WEAK → ACCUMULATE,0.0128,0.0059,22,-0.0293,-0.0508,22,-0.0788,-0.0442,21
WEAK → AVOID,-0.0216,-0.0248,107,-0.0717,-0.0407,107,-0.0637,-0.0122,103
WEAK → BUY,-0.0159,-0.0167,39,-0.0113,0.0315,39,0.0303,-0.0114,39
WEAK → WATCH,0.0043,0.0053,50,0.0006,-0.0087,50,-0.0303,-0.0134,46
WEAK → WEAK,-0.0058,-0.0,218,-0.0086,-0.0,218,-0.0194,-0.0,206
