winner_type,variable,winner_mean,non_winner_mean,winner_median,non_winner_median,diff_mean,diff_median,winner_count,non_winner_count
is_winner_3m,quality_score,,,,,,,0,0
is_winner_3m,value_score,,,,,,,0,0
is_winner_3m,growth_score,,,,,,,0,0
is_winner_3m,momentum_score,,,,,,,0,0
is_winner_3m,rs_3m,-0.014202946007151405,-0.0018153948971262957,-0.06893841734814984,-0.0245406548911675,-0.01238755111002511,-0.04439776245698235,214,2045
is_winner_3m,rs_6m,-0.01984616147204758,-0.00933424680108799,-0.1190853953510145,-0.0402262249650324,-0.010511914670959589,-0.07885917038598211,210,2037
is_winner_3m,rs_change,-0.013623223362556317,-0.0017566406307276603,-0.0046667447363779,-0.0046923622530112,-0.011866582731828657,2.5617516633299857e-05,209,2034
is_winner_3m,drawdown,-0.2509126790431041,-0.1719503956697027,-0.2432432432432432,-0.1485158390501211,-0.07896228337340142,-0.09472740419312209,217,2054
is_winner_3m,recovery,0.09315370360703484,0.07424171247127591,0.0095239464199277,0.0209131770678227,0.018911991135758935,-0.011389230647895,217,2054
is_winner_3m,volatility_3m,0.11428875240221908,0.08644741166331218,0.09125999193659519,0.06934673224119209,0.0278413407389069,0.0219132596954031,214,2049
is_winner_3m,final_score,,,,,,,0,0
is_winner_6m,quality_score,,,,,,,0,0
is_winner_6m,value_score,,,,,,,0,0
is_winner_6m,growth_score,,,,,,,0,0
is_winner_6m,momentum_score,,,,,,,0,0
is_winner_6m,rs_3m,0.03951940517246572,-0.004428535008199604,-0.0479224988803005,-0.0278685779249422,0.04394794018066533,-0.0200539209553583,74,2185
is_winner_6m,rs_6m,0.022829953457459348,-0.01141393622615324,-0.0616594734100027,-0.0465644308803632,0.03424388968361259,-0.015095042529639495,72,2175
is_winner_6m,rs_change,0.018087610216037425,-0.003557148162703373,-0.0017410545238107501,-0.0046667447363779,0.021644758378740796,0.00292569021256715,72,2171
is_winner_6m,drawdown,-0.21541955295416998,-0.1782007387657589,-0.1808760398835908,-0.15170474884588386,-0.03721881418841108,-0.029171291037706937,79,2192
is_winner_6m,recovery,0.10972054684683288,0.07483526820156364,0.0049999413616158,0.02046050676957235,0.034885278645269246,-0.01546056540795655,79,2192
is_winner_6m,volatility_3m,0.11275389758858304,0.08826873729115987,0.08920312202073608,0.07087552834912791,0.02448516029742316,0.01832759367160816,75,2188
is_winner_6m,final_score,,,,,,,0,0
