feature,winner_mean,control_mean,winner_median,control_median,winner_std,control_std,cohens_d,spearman_ic,spearman_p,t_stat,t_pval,mw_stat,mw_pval,lift,n_winner,n_control
ma200,2648.478747,4456.256065,1323.820296,2716.083168,3416.532337,4092.579214,-0.479367,-0.297577,3e-06,-3.692644,0.000278,4608,5e-06,0.594328,118,119
ma100,2620.860511,4430.958904,1394.296359,2760.904563,3404.565161,4116.14526,-0.478858,-0.301567,1e-06,-3.776143,0.000201,5010,2e-06,0.591488,123,125
ma50,2631.520952,4416.686023,1302.078375,2830.276772,3458.102416,4009.212257,-0.476549,-0.308013,1e-06,-3.771774,0.000203,5033,1e-06,0.595813,124,126
ma20,2597.536048,4345.306514,1271.736292,2709.971808,3478.73432,3925.27616,-0.471145,-0.308305,1e-06,-3.733932,0.000234,5071,1e-06,0.59778,125,126
volatility_60d,0.473684,0.396238,0.438413,0.352616,0.203479,0.181898,0.401476,0.288724,3e-06,3.170996,0.001714,10416,5e-06,1.195453,124,126
drawdown_252d,-0.311535,-0.239646,-0.326017,-0.216324,0.191913,0.170848,-0.395679,-0.192406,0.001986,-3.165431,0.00174,6372,0.002129,1.299981,128,128
distance_from_high_252d,-0.311535,-0.239646,-0.326017,-0.216324,0.191913,0.170848,-0.395679,-0.192406,0.001986,-3.165431,0.00174,6372,0.002129,1.299981,128,128
volatility_20d,0.510658,0.405092,0.456055,0.358403,0.33001,0.233166,0.369721,0.273114,1.1e-05,2.924805,0.003803,10358,1.6e-05,1.260598,125,126
above_ma50,0.242188,0.398438,0.0,0.0,0.430091,0.4915,-0.338337,-0.167436,0.007256,-2.706699,0.007265,6912,0.007525,0.607843,128,128
rs_20d,-0.04859,-0.004363,-0.064225,-0.009943,0.166181,0.108372,-0.316062,-0.228272,0.000353,-2.440776,0.015516,5345,0.000407,11.135831,119,122
above_ma20,0.210938,0.34375,0.0,0.0,0.409577,0.476825,-0.298808,-0.148332,0.017556,-2.390462,0.017573,7104,0.017905,0.613636,128,128
rs_change_20d,-0.060337,-0.004221,-0.050857,0.001161,0.221049,0.160834,-0.290874,-0.185044,0.004098,-2.23952,0.026153,5613,0.00432,14.296042,118,121
rs_252d,0.127832,0.040519,-0.03593,0.001908,0.505037,0.321082,0.207192,-0.007838,0.910969,1.474344,0.142256,5254,0.911572,3.154873,101,105
above_ma100,0.328125,0.398438,0.0,0.0,0.471376,0.4915,-0.146015,-0.073098,0.243854,-1.16812,0.243855,7616,0.243504,0.823529,128,128
above_ma200,0.34375,0.414062,0.0,0.0,0.476825,0.494495,-0.144753,-0.07247,0.247941,-1.158026,0.247942,7616,0.24758,0.830189,128,128
volume_ratio,1.20732,1.128417,0.907339,0.938968,1.233713,0.81277,0.07559,-0.057185,0.36695,0.597836,0.55058,7355,0.366362,1.069924,125,126
rs_60d,-0.014236,0.00017,-0.054897,-0.016702,0.249185,0.169407,-0.067715,-0.094054,0.141311,-0.529426,0.597062,6742,0.141216,-83.664611,122,124
recovery_from_60d_low,0.142919,0.133607,0.067991,0.0793,0.202188,0.152221,0.052039,-0.04934,0.431836,0.416311,0.677561,7725,0.431252,1.069703,128,128
rs_change_60d,-0.047835,-0.040887,-0.055815,-0.041581,0.300757,0.263241,-0.024601,-0.029349,0.656523,-0.187134,0.851724,6499,0.656251,1.169953,115,117
momentum_slope,-0.001032,-0.000939,-0.000964,-0.001084,0.004064,0.003693,-0.02417,0.001915,0.976062,-0.19016,0.849343,7704,0.976695,1.099962,123,125
rs_120d,0.024376,0.025424,-0.065828,-0.007084,0.342344,0.230764,-0.003594,-0.081097,0.218476,-0.027281,0.978263,6097,0.218102,0.958799,115,117
golden_cross,0.007812,0.007812,0.0,0.0,0.088388,0.088388,0.0,0.0,1.0,0.0,1.0,8192,1.0,1.0,128,128
death_cross,0.007812,0.007812,0.0,0.0,0.088388,0.088388,0.0,0.0,1.0,0.0,1.0,8192,1.0,1.0,128,128
