ticker,quality_score,growth_score,value_score,momentum_score,final_score,ROE,DER,Net Margin,Operating Margin,FCF,PE,PB,Revenue Growth,Net Income Growth,RS_6M,Return_12M,collection_date,source,weight_configuration,universe_version,factor_formula_version,quality_rank,growth_rank,value_rank,momentum_rank,final_rank
ADMR.JK,,,,96.07,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,1.0,
AMMN.JK,41.71,67.24,6.38,3.14,32.34,0.10484,,0.20658001,0.38917,-1094615168.0,22.83105,43421.055,379.373,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,24.0,9.0,30.0,63.0,29.0
ASII.JK,53.52,12.07,77.59,55.78,44.28,0.13245,,0.099429995,0.0857,15747374907392.0,6.3694267,0.86060655,-0.056,-0.146,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,13.0,28.0,3.5,28.0,18.0
SMGR.JK,31.59,72.41,38.28,11.01,37.3,0.00438,,0.00637,0.0312,2993279991808.0,49.74978,0.2613957,0.083,0.887,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,26.0,6.0,20.0,59.0,25.0
EXCL.JK,18.62,62.07,70.69,85.0,60.1,-0.20136999,,-0.12106,-0.00874,11772207562752.0,,1.7263939,0.374,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,28.0,12.0,7.0,9.0,8.0
EMTK.JK,,,,35.96,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,42.0,
BBRI.JK,71.21,65.52,77.59,41.84,59.86,0.18135999,,0.40230998,0.42025003,,7.5815983,1.3133987,0.163,0.143,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,5.0,10.5,3.5,37.0,9.0
TLKM.JK,62.2,14.66,35.17,64.46,46.03,0.14214,,0.11276,0.24583,34257999233024.0,18.416094,2.1886785,0.015,-0.216,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,9.0,27.0,23.5,23.0,17.0
TKIM.JK,,,,38.49,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,41.0,
HRUM.JK,,,,44.83,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,35.0,
ACES.JK,,,,30.81,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,50.0,
