ticker,sector,listing_date,collection_date,universe_version
BBCA.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
ASII.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
ICBP.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
TLKM.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
KLBF.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
INDF.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
BMRI.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
PTBA.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
MDKA.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
CPIN.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
ADRO.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
TPIA.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
AMMN.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
BBRI.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
BRPT.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
BBNI.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
UNTR.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
SMGR.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
PGAS.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
ESSA.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
INTP.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
EXCL.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
MAPI.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
SIDO.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
ANTM.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
GOTO.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
MIKA.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
HEAL.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
AKRA.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
ITMG.JK,,,2026-06-05T20:20:31.263078,IDX30_2026_06
