ticker,month,quality_score,growth_score,value_score_pit,value_score_trailing,momentum_score,final_score_pit,final_score_trailing,pe_pit,pb_pit,pe_trailing,pb_trailing,roe,der,net_margin,operating_margin,fcf,revenue_growth,earnings_growth,return_6m,return_12m,rs_6m,foreign_flow_6m,price,is_bank,is_commodity
ADRO.JK,2024-06,73.27,14.29,22.14,23.57,94.65,57.95,58.09,24002.9044,5317.9356,7.2358,13176.471,0.221554,0.194264,0.768675,0.362336,564985000.0,-0.736447,-0.341603,0.253951,0.462939,0.27398,25312902759.44,1368.01,False,True
AKRA.JK,2024-06,52.09,37.5,43.57,33.57,75.0,54.88,53.88,9.9873,1.9774,9.3984,1.8836,0.197989,0.329615,0.066062,0.084227,2853380374000.0,-0.114704,0.156871,0.031056,0.265108,0.051084,-3306054968.5,1402.45,False,True
AMRT.JK,2024-06,53.38,78.57,33.57,25.0,69.65,64.65,63.79,32.7681,7.1016,14.7926,2.7902,0.216722,0.1185,0.031826,0.029896,2286652000000.0,0.103379,0.192056,0.048174,0.076613,0.068202,-2920647508.17,2714.2,False,False
ANTM.JK,2024-06,49.96,25.0,70.72,45.0,25.0,35.81,33.24,9.2973,0.9181,9.1658,1.7012,0.098751,0.096787,0.074977,0.065715,2917959000000.0,-0.106306,-0.194537,-0.125907,-0.305208,-0.105879,-65556170894.28,1190.71,False,False
ARTO.JK,2024-06,36.97,92.86,35.0,35.71,19.64,47.47,47.55,461.6485,3.9974,43.662,1.4455,0.008659,0.006547,0.045966,1.0,1598594000000.0,0.155819,3.547351,-0.249221,-0.242138,-0.229193,26191500311.53,2410.0,True,False
ASII.JK,2024-06,54.48,62.5,79.28,80.0,35.72,52.8,52.87,4.5391,0.6134,5.8207,0.7866,0.135127,0.372608,0.106894,0.139839,11648000000000.0,0.050388,0.16912,-0.051034,-0.270328,-0.031006,128134809868.88,3833.88,False,False
BBCA.JK,2024-06,90.18,82.14,38.57,35.71,73.22,76.67,76.38,23.0368,4.6199,10.7759,2.4065,0.200543,0.009757,0.484039,1.0,52964427000000.0,0.122454,0.194016,0.063216,0.11499,0.083244,321032929342.74,9118.84,True,False
BBNI.JK,2024-06,74.64,46.42,94.28,82.85,46.43,58.26,57.12,0.1089,0.0148,5.8893,0.7419,0.135808,0.342755,0.370803,1.0,8037804000000.0,-0.003868,0.141842,-0.150836,0.067256,-0.130807,83278977545.64,3936.49,True,False
BBRI.JK,2024-06,62.32,73.22,60.71,67.86,33.93,55.49,56.21,9.5433,1.8101,7.0423,1.2199,0.189674,0.470194,0.361062,1.0,-13148750000000.0,0.082387,0.174506,-0.16222,-0.106644,-0.142192,562337990757.37,3809.07,True,False
BMRI.JK,2024-06,64.64,78.57,65.72,72.86,67.85,70.05,70.76,8.5286,1.6334,6.1274,1.1741,0.191517,0.466987,0.44334,1.0,-74824994000000.0,0.074031,0.337362,-0.027891,0.243178,-0.007863,52362209890.51,5031.25,True,False
BRPT.JK,2024-06,17.1,60.72,2.14,9.29,64.29,45.21,45.92,3552405.5567,22562.3116,13.6054,59200.0,0.006351,1.038994,0.009461,0.12646,16516000.0,-0.067929,13.847072,-0.063691,0.332199,-0.043662,-17485452355.32,990.0,False,False
BUKA.JK,2024-06,24.28,46.43,91.43,95.0,8.93,32.27,32.62,0.0,0.5057,4.2422,0.4042,-0.053897,0.001521,-0.307633,-0.179426,-20658255000.0,0.226595,-1.688312,-0.276042,-0.34434,-0.256013,16486472332.3,139.0,False,False
CPIN.JK,2024-06,33.56,55.35,38.57,55.0,71.43,53.85,55.5,35.0998,3.0109,8.3057,1.5096,0.085782,0.354327,0.03763,0.062594,1662751000000.0,0.083498,-0.208226,0.139386,-0.014074,0.159414,2303258429.16,4962.91,False,False
