ticker,month,price,pe,pb,data_source,pit_pe,pit_pb,quality_score,growth_score,value_score,momentum_score,final_score,fy_used,fy_actual,qg_source
ADRO.JK,2022-01-01,757.1715698242188,7.235843,13176.471,trailing,0.0,0.0,52.56,77.78,33.89,92.59,72.27,2021,2021,trailing
AKRA.JK,2022-01-01,531.2363891601562,9.398352,1.8836404,trailing,0.0,0.0,48.03,66.67,36.48,51.85,53.8,2021,2021,trailing
AMRT.JK,2022-01-01,1116.7427978515625,14.792551,2.7902405,trailing,0.0,0.0,52.9,40.74,30.92,48.15,45.39,2021,2021,trailing
ANTM.JK,2022-01-01,1470.8990478515625,9.1657505,1.7011505,trailing,0.0,0.0,50.93,61.12,47.22,3.7,37.09,2021,2021,trailing
ARTO.JK,2022-01-01,16400.0,43.661972,1.4455135,trailing,0.0,0.0,35.37,72.22,33.15,59.26,54.56,2021,2021,trailing
ASII.JK,2022-01-01,3740.151123046875,5.820692,0.7865944,trailing,0.0,0.0,57.12,7.4,72.41,31.48,34.76,2021,2021,trailing
BBCA.JK,2022-01-01,6555.3310546875,10.775863,2.4064806,trailing,0.0,0.0,84.07,25.92,40.93,62.97,54.93,2021,2021,trailing
BBNI.JK,2022-01-01,2779.3857421875,5.88926,0.7418746,trailing,0.0,0.0,53.89,37.03,73.15,79.63,59.77,2021,2021,trailing
BBRI.JK,2022-01-01,2895.2529296875,7.042254,1.2199025,trailing,0.0,0.0,71.85,57.41,63.15,50.0,59.0,2021,2021,trailing
BMRI.JK,2022-01-01,2641.64306640625,6.1274314,1.1741004,trailing,0.0,0.0,79.82,36.12,67.22,70.37,62.14,2021,2021,trailing
BRPT.JK,2022-01-01,878.8179321289062,13.605442,59200.0,trailing,0.0,0.0,35.52,100.0,23.52,25.93,50.31,2021,2021,trailing
BUKA.JK,2022-01-01,356.0,4.2421904,0.40420225,trailing,0.0,0.0,64.66,59.26,82.41,25.92,51.26,2021,2021,trailing
CPIN.JK,2022-01-01,5891.64599609375,8.305689,1.5095513,trailing,0.0,0.0,61.06,66.66,54.26,42.59,55.6,2021,2021,trailing
EMTK.JK,2022-01-01,1654.6192626953125,11.260285,0.8623849,trailing,0.0,0.0,45.83,57.41,47.59,9.26,36.68,2021,2021,trailing
ESSA.JK,2022-01-01,551.0540161132812,10.965323,21666.666,trailing,0.0,0.0,65.74,90.74,23.15,90.74,77.73,2021,2021,trailing
HRUM.JK,2022-01-01,2019.7071533203125,12.164579,9577.465,trailing,0.0,0.0,17.82,66.67,28.33,96.3,60.99,2021,2021,trailing
INCO.JK,2022-01-01,4578.958984375,27.548376,17116.105,trailing,0.0,0.0,40.57,79.63,21.3,11.11,40.05,2021,2021,trailing
INDF.JK,2022-01-01,5416.869140625,4.8638134,0.6870716,trailing,0.0,0.0,47.71,37.03,78.33,38.89,44.48,2021,2021,trailing
ITMG.JK,2022-01-01,10116.369140625,7.5872536,12732.558,trailing,0.0,0.0,49.51,16.67,35.37,85.19,50.73,2021,2021,trailing
KLBF.JK,2022-01-01,1508.7568359375,8.725675,1.2942996,trailing,0.0,0.0,68.01,31.48,53.52,64.81,54.48,2021,2021,trailing
